AdopterID,activity_level,home_type,home_size,pet_experience,available_time,kids_present,other_pets,pet_budget,insurance_willing,vet_commitment,air_conditioning_available,training_commitment,patience_level,grooming_tolerance,noise_tolerance,long_term_commitment
A86,low,house,small,intermediate,high,no,yes,medium,yes,medium,yes,high,medium,medium,high,no
A87,medium,apartment,large,intermediate,medium,no,no,low,no,high,no,low,low,high,high,yes
A88,medium,house,small,experienced,medium,yes,no,medium,no,low,no,low,low,medium,medium,no
A89,medium,apartment,large,beginner,high,yes,no,low,no,high,yes,high,high,high,low,no
A90,low,apartment,medium,beginner,medium,yes,yes,low,no,medium,yes,high,low,medium,low,no
A91,high,apartment,large,beginner,low,no,yes,high,yes,high,yes,low,high,high,low,no
A92,medium,house,large,beginner,high,yes,no,low,no,low,no,medium,medium,medium,medium,no
A93,low,house,small,experienced,low,no,yes,high,no,high,no,high,medium,high,low,yes
A94,low,house,small,experienced,high,no,no,high,no,medium,no,medium,low,medium,high,no
A95,medium,apartment,medium,experienced,low,yes,no,medium,no,high,no,low,high,high,low,yes
A96,high,apartment,small,intermediate,low,no,yes,high,no,medium,no,high,low,low,medium,no
A97,high,house,large,experienced,high,yes,no,medium,no,low,yes,high,medium,high,medium,yes
A98,medium,house,large,intermediate,low,yes,no,low,no,high,yes,medium,high,low,medium,yes
A99,medium,house,large,intermediate,medium,yes,yes,high,yes,low,yes,medium,low,low,low,no
A100,low,house,large,beginner,low,no,no,high,yes,low,no,high,low,low,high,yes
A101,medium,apartment,small,experienced,low,yes,no,high,yes,low,no,high,low,high,low,no
A102,high,apartment,small,intermediate,low,yes,no,high,no,high,yes,low,medium,low,high,no
A103,high,house,small,beginner,low,yes,no,high,no,high,yes,medium,medium,high,medium,no
A104,medium,apartment,small,intermediate,high,yes,no,medium,no,medium,yes,high,medium,high,high,no
A105,medium,house,medium,beginner,low,yes,yes,medium,yes,medium,yes,high,high,medium,low,yes
A106,high,apartment,large,beginner,high,no,no,high,yes,low,no,low,low,medium,medium,yes
A107,high,apartment,small,experienced,high,no,no,medium,yes,high,yes,medium,high,medium,low,yes
A108,high,house,small,experienced,high,yes,yes,high,yes,medium,no,medium,low,high,high,no
A109,high,apartment,medium,intermediate,low,no,yes,high,no,low,no,high,low,medium,medium,no
A110,low,house,small,beginner,medium,yes,no,medium,yes,medium,yes,medium,high,low,low,no
A111,low,apartment,medium,intermediate,high,no,yes,medium,no,medium,yes,high,medium,medium,medium,yes
A112,low,apartment,small,beginner,medium,yes,no,low,yes,medium,yes,high,medium,high,low,no
A113,low,house,medium,experienced,high,no,yes,medium,yes,medium,yes,low,low,high,medium,no
A114,high,apartment,medium,beginner,medium,no,yes,high,yes,low,no,medium,high,medium,medium,no
A115,medium,apartment,large,intermediate,medium,yes,no,high,yes,low,no,medium,medium,high,low,yes
A116,low,apartment,medium,experienced,medium,no,no,medium,no,medium,no,low,low,high,low,yes
A117,low,apartment,large,experienced,low,yes,yes,medium,no,high,no,medium,high,low,high,no
A118,high,house,medium,experienced,medium,no,yes,low,no,low,no,medium,low,low,low,yes
A119,medium,house,small,experienced,medium,no,yes,medium,yes,low,no,high,medium,low,low,yes
A120,medium,apartment,medium,beginner,high,yes,no,low,no,high,yes,high,high,medium,medium,no
A121,medium,house,large,experienced,high,no,yes,high,yes,low,yes,medium,low,medium,low,yes
A122,medium,apartment,large,intermediate,high,yes,no,low,yes,low,no,medium,high,high,low,yes
A123,low,apartment,medium,experienced,low,yes,yes,medium,yes,high,yes,low,low,medium,medium,yes
A124,medium,house,large,beginner,medium,yes,yes,medium,no,high,no,low,medium,high,high,no
A125,medium,apartment,large,experienced,high,no,yes,medium,yes,low,no,high,high,medium,medium,no
A126,low,house,small,intermediate,high,yes,no,medium,no,high,no,medium,low,high,medium,no
A127,medium,house,small,intermediate,high,no,yes,low,yes,low,no,low,medium,medium,high,yes
A128,medium,apartment,medium,experienced,medium,no,no,high,no,high,no,high,medium,medium,low,yes
A129,low,apartment,medium,beginner,medium,no,yes,low,no,high,no,low,low,medium,medium,yes
A130,low,apartment,large,intermediate,high,yes,yes,high,no,medium,yes,high,medium,medium,low,no
A131,high,apartment,large,experienced,high,no,yes,medium,yes,medium,yes,low,low,low,medium,no
A132,low,house,medium,intermediate,medium,yes,yes,medium,yes,high,yes,low,medium,medium,medium,no
A133,medium,house,small,experienced,high,no,yes,high,no,high,no,low,high,high,medium,no
A134,low,apartment,medium,intermediate,medium,yes,yes,medium,yes,medium,no,high,medium,low,high,no
A135,high,house,medium,experienced,high,yes,yes,medium,yes,medium,no,medium,medium,medium,high,yes
A136,high,apartment,small,beginner,high,yes,yes,low,yes,high,yes,medium,high,medium,high,no
A137,high,apartment,medium,beginner,low,yes,yes,low,no,low,yes,medium,medium,high,high,yes
A138,low,apartment,small,beginner,low,no,no,high,no,medium,no,medium,medium,medium,low,no
A139,high,house,medium,intermediate,medium,yes,no,high,no,low,yes,low,high,low,high,yes
A140,medium,apartment,small,intermediate,high,yes,no,low,no,low,no,medium,medium,low,low,no
A141,medium,apartment,large,intermediate,medium,yes,yes,medium,yes,low,yes,low,high,medium,medium,no
A142,medium,house,medium,intermediate,low,yes,no,medium,yes,low,yes,low,medium,high,high,no
A143,low,apartment,large,experienced,high,yes,no,low,no,high,no,high,high,low,high,no
A144,high,apartment,large,experienced,low,yes,no,high,yes,high,yes,high,high,medium,high,yes
A145,low,house,small,experienced,high,yes,yes,low,yes,high,no,low,high,low,low,no
A146,medium,house,medium,beginner,high,yes,yes,medium,yes,medium,no,high,low,medium,medium,no
A147,high,house,small,experienced,low,no,yes,low,yes,medium,yes,medium,high,low,medium,yes
A148,high,apartment,medium,beginner,medium,no,no,low,yes,high,yes,medium,medium,medium,medium,no
A149,low,apartment,medium,experienced,high,yes,yes,medium,yes,high,yes,low,medium,medium,high,no
A150,high,house,small,intermediate,high,no,yes,low,yes,high,yes,high,high,low,medium,yes
A151,high,house,large,experienced,low,no,yes,high,no,low,no,medium,low,high,high,no
A152,low,apartment,medium,experienced,high,no,yes,high,yes,low,no,low,low,high,medium,yes
A153,high,house,medium,intermediate,medium,no,no,medium,no,medium,no,medium,medium,medium,medium,yes
A154,high,apartment,medium,beginner,low,yes,yes,low,yes,low,yes,low,low,medium,low,yes
A155,medium,apartment,small,experienced,low,yes,yes,medium,yes,high,no,high,low,low,low,yes
A156,low,apartment,large,experienced,high,no,yes,high,yes,medium,yes,low,low,medium,high,no
A157,medium,house,large,beginner,medium,yes,no,high,no,high,no,medium,high,low,high,no
A158,low,apartment,small,beginner,high,no,no,low,yes,medium,yes,high,low,high,high,yes
A159,high,house,large,experienced,low,no,yes,high,yes,low,no,high,medium,high,medium,no
A160,high,house,medium,beginner,high,yes,no,medium,yes,medium,yes,low,high,low,low,no
A161,high,house,large,beginner,high,yes,yes,high,yes,low,yes,low,medium,high,medium,yes
A162,medium,house,small,experienced,medium,no,yes,high,no,high,yes,medium,high,medium,low,no
A163,low,apartment,medium,experienced,low,yes,no,high,yes,low,no,low,high,high,high,yes
A164,medium,apartment,small,beginner,medium,yes,no,high,yes,high,yes,low,medium,low,high,yes
A165,low,house,large,experienced,medium,no,no,high,no,high,yes,high,low,medium,medium,no
A166,high,apartment,large,intermediate,high,no,yes,low,no,low,yes,medium,medium,low,high,yes
A167,high,house,small,intermediate,low,no,yes,medium,yes,high,yes,high,medium,low,high,yes
A168,medium,house,small,beginner,high,no,yes,low,no,high,yes,medium,low,high,medium,yes
A169,medium,apartment,large,experienced,high,no,no,high,no,low,no,low,low,high,medium,no
A170,high,apartment,medium,intermediate,medium,no,yes,high,no,medium,yes,low,high,medium,high,no
A171,low,apartment,medium,beginner,low,yes,yes,high,yes,medium,no,high,low,high,low,no
A172,medium,apartment,small,intermediate,low,yes,yes,high,yes,high,no,medium,low,low,low,no
A173,medium,house,large,beginner,low,yes,yes,low,no,high,no,low,high,high,medium,yes
A174,medium,apartment,medium,experienced,high,yes,no,low,yes,low,no,low,high,medium,medium,no
A175,high,house,large,intermediate,medium,no,no,high,no,low,no,high,high,high,high,no
A176,high,apartment,large,beginner,medium,yes,yes,high,no,low,yes,low,medium,low,low,no
A177,high,apartment,large,intermediate,low,yes,yes,medium,no,low,no,medium,low,high,medium,no
A178,low,house,small,intermediate,medium,no,no,medium,yes,medium,no,high,low,medium,high,no
A179,low,apartment,medium,intermediate,medium,no,yes,low,yes,low,yes,medium,high,medium,high,no
A180,medium,apartment,small,intermediate,low,yes,yes,low,no,low,no,low,high,low,low,no
A181,medium,apartment,small,beginner,high,yes,no,high,no,low,yes,medium,high,medium,high,no
A182,medium,apartment,medium,intermediate,high,yes,yes,low,yes,medium,yes,low,high,medium,high,no
A183,medium,house,medium,beginner,medium,yes,no,medium,no,low,yes,medium,high,high,high,yes
A184,high,house,medium,beginner,high,no,no,high,no,medium,yes,low,medium,medium,low,yes
A185,high,apartment,small,experienced,medium,yes,yes,low,yes,low,no,high,medium,medium,low,no
A186,low,house,large,beginner,low,yes,no,low,no,low,no,medium,medium,medium,high,yes
A187,low,apartment,medium,intermediate,medium,no,no,high,yes,high,yes,low,low,high,high,yes
A188,medium,apartment,small,beginner,medium,yes,yes,medium,yes,medium,no,high,high,medium,high,yes
A189,low,apartment,large,experienced,high,no,yes,low,yes,medium,yes,high,low,medium,high,no
A190,high,house,small,intermediate,low,no,no,low,no,low,yes,medium,low,medium,low,yes
A191,high,house,medium,experienced,medium,yes,no,medium,no,high,yes,low,high,high,low,no
A192,medium,apartment,medium,experienced,medium,no,yes,medium,no,high,no,low,low,high,low,yes
A193,high,apartment,large,experienced,low,yes,no,low,no,medium,yes,medium,high,low,low,yes
A194,medium,house,medium,beginner,medium,yes,no,low,yes,low,yes,high,medium,low,low,no
A195,medium,house,large,intermediate,medium,yes,no,low,no,medium,yes,low,low,high,low,no
A196,medium,apartment,large,intermediate,high,no,no,medium,no,high,yes,low,high,high,high,yes
A197,high,house,small,beginner,medium,yes,yes,high,yes,low,no,low,high,medium,medium,yes
A198,low,house,large,beginner,medium,yes,no,medium,no,low,yes,high,low,medium,medium,no
A199,medium,house,small,intermediate,low,yes,no,high,no,high,no,low,medium,high,medium,yes
A200,high,apartment,medium,beginner,medium,no,no,medium,yes,low,no,low,low,high,low,no
A201,medium,apartment,small,experienced,low,yes,yes,low,no,medium,no,medium,low,low,low,yes
A202,high,apartment,large,experienced,medium,no,no,low,no,low,no,medium,medium,high,low,yes
A203,medium,house,medium,beginner,medium,yes,yes,low,no,medium,no,high,low,low,high,yes
A204,low,apartment,medium,intermediate,high,yes,yes,high,no,medium,yes,low,high,medium,high,yes
A205,medium,house,medium,experienced,high,no,yes,high,no,low,no,high,high,high,high,no
A206,medium,apartment,medium,intermediate,high,yes,no,high,yes,low,yes,low,medium,high,low,no
A207,low,house,small,intermediate,medium,no,no,medium,no,low,no,high,medium,medium,high,no
A208,high,house,medium,experienced,high,no,no,low,no,medium,yes,medium,high,high,low,no
A209,low,house,medium,experienced,low,yes,no,medium,no,high,yes,high,high,low,low,no
A210,high,house,small,intermediate,medium,yes,yes,medium,yes,high,yes,high,high,medium,low,no
A211,low,house,large,experienced,low,no,no,high,no,medium,yes,low,low,medium,medium,yes
A212,high,apartment,large,beginner,medium,no,no,low,yes,high,yes,low,medium,medium,high,no
A213,medium,house,small,beginner,medium,yes,no,low,no,low,no,medium,low,medium,low,yes
A214,medium,house,large,experienced,high,yes,yes,low,yes,medium,yes,high,medium,high,medium,yes
A215,medium,apartment,medium,experienced,medium,yes,yes,high,no,high,no,medium,medium,high,low,yes
A216,low,apartment,medium,beginner,high,yes,yes,medium,yes,medium,yes,low,low,medium,high,no
A217,high,apartment,small,experienced,high,yes,no,medium,no,medium,yes,medium,medium,high,high,no
A218,medium,house,small,experienced,low,no,yes,medium,no,medium,no,high,high,medium,high,yes
A219,high,apartment,large,experienced,medium,no,yes,low,yes,low,no,medium,high,high,medium,yes
A220,medium,apartment,medium,intermediate,medium,no,no,medium,no,high,yes,medium,medium,low,medium,yes
A221,high,apartment,large,beginner,high,yes,yes,medium,no,high,no,medium,high,low,low,no
A222,medium,house,large,experienced,high,no,yes,low,yes,high,yes,low,low,low,high,yes
A223,low,house,small,beginner,low,yes,no,medium,yes,medium,no,medium,medium,low,medium,no
A224,high,apartment,small,beginner,high,no,no,high,yes,high,yes,low,high,high,high,no
A225,low,apartment,large,intermediate,low,yes,yes,low,yes,medium,yes,low,medium,medium,medium,yes
A226,medium,apartment,large,beginner,low,no,no,medium,yes,low,no,medium,low,medium,medium,yes
A227,low,house,small,experienced,high,no,no,high,no,low,yes,high,medium,low,low,no
A228,medium,house,large,beginner,medium,yes,no,low,yes,medium,no,low,low,low,medium,yes
A229,low,apartment,medium,intermediate,high,yes,yes,medium,yes,medium,no,low,medium,high,high,no
A230,medium,house,small,beginner,low,no,no,medium,no,low,no,medium,low,medium,medium,no
A231,high,apartment,medium,intermediate,high,yes,yes,medium,yes,medium,no,high,high,medium,low,no
A232,high,house,large,experienced,medium,no,no,high,yes,high,yes,high,low,medium,low,no
A233,low,house,medium,experienced,high,yes,no,high,no,medium,no,high,low,low,medium,yes
A234,high,apartment,large,intermediate,medium,yes,yes,medium,yes,medium,yes,medium,medium,high,low,yes
A235,high,house,medium,intermediate,low,yes,no,low,yes,high,no,high,high,medium,medium,yes
A236,low,apartment,large,experienced,low,no,no,low,no,high,no,low,low,medium,high,yes
A237,high,apartment,large,intermediate,medium,yes,yes,medium,no,low,yes,medium,medium,medium,high,no
A238,high,apartment,medium,experienced,low,no,yes,medium,no,medium,yes,low,low,low,medium,yes
A239,high,house,medium,intermediate,medium,no,yes,low,yes,low,yes,medium,high,high,high,no
A240,medium,apartment,small,beginner,low,no,no,medium,no,high,yes,low,low,medium,low,yes
A241,low,apartment,medium,beginner,medium,yes,yes,low,yes,high,no,high,low,low,low,no
A242,low,house,medium,experienced,medium,no,no,low,yes,high,no,high,low,medium,high,no
A243,low,apartment,large,experienced,medium,no,yes,high,no,low,yes,medium,medium,low,high,yes
A244,high,house,medium,beginner,medium,yes,no,medium,no,high,yes,low,high,low,medium,no
A245,high,house,medium,intermediate,medium,no,no,high,no,high,no,low,medium,high,high,no
A246,high,apartment,medium,intermediate,high,yes,no,medium,yes,medium,no,high,low,low,medium,no
A247,low,apartment,large,experienced,low,no,yes,medium,no,medium,no,high,low,medium,low,no
A248,high,apartment,small,intermediate,high,yes,no,high,yes,high,no,medium,low,high,medium,yes
A249,medium,house,medium,intermediate,high,no,no,low,yes,high,yes,medium,medium,high,low,no
A250,high,house,large,beginner,low,no,no,high,yes,medium,yes,medium,high,high,low,yes
A251,medium,apartment,small,beginner,medium,no,yes,high,no,high,yes,medium,low,medium,medium,no
A252,high,apartment,large,beginner,low,yes,no,high,yes,low,no,high,low,high,medium,no
A253,low,house,small,experienced,high,no,no,medium,no,medium,no,high,medium,medium,medium,no
A254,low,apartment,medium,intermediate,high,yes,yes,high,yes,medium,yes,medium,medium,high,low,no
A255,low,apartment,medium,intermediate,high,yes,yes,high,no,high,no,low,medium,high,medium,yes
A256,low,apartment,small,intermediate,high,yes,yes,low,yes,medium,yes,low,low,high,low,no
A257,low,house,medium,experienced,low,no,yes,medium,no,low,yes,high,medium,high,medium,no
A258,medium,house,large,beginner,high,yes,no,low,no,medium,yes,medium,low,high,high,no
A259,medium,apartment,medium,experienced,medium,no,yes,medium,yes,high,no,low,low,high,low,yes
A260,low,house,medium,experienced,medium,no,yes,high,no,medium,no,high,medium,medium,medium,yes
A261,low,house,small,intermediate,medium,no,yes,high,no,medium,no,medium,high,low,medium,yes
A262,medium,apartment,small,experienced,low,no,yes,high,yes,low,no,low,medium,high,low,yes
A263,medium,apartment,large,experienced,medium,no,yes,medium,yes,low,yes,low,medium,medium,low,yes
A264,high,apartment,medium,beginner,medium,yes,yes,low,no,high,no,medium,low,low,medium,no
A265,low,house,medium,intermediate,low,yes,yes,low,yes,high,no,low,high,high,high,yes
A266,low,house,large,beginner,high,no,yes,medium,no,high,yes,high,high,medium,medium,yes
A267,medium,house,large,experienced,medium,yes,no,high,yes,high,yes,medium,medium,low,high,yes
A268,medium,house,large,experienced,high,yes,yes,high,yes,high,no,low,high,medium,high,yes
A269,low,house,medium,experienced,low,yes,no,high,no,medium,yes,high,low,high,low,yes
A270,low,house,small,beginner,low,no,no,low,no,low,no,medium,high,low,medium,no
A271,low,house,medium,beginner,medium,yes,yes,high,no,high,no,high,medium,high,high,no
A272,low,house,medium,intermediate,medium,yes,no,high,no,medium,no,medium,medium,low,medium,no
A273,medium,house,large,intermediate,medium,no,yes,medium,yes,high,yes,low,medium,low,high,yes
A274,low,house,medium,experienced,medium,no,yes,high,yes,medium,yes,high,low,high,low,no
A275,medium,house,medium,beginner,low,no,yes,low,no,low,yes,high,high,low,medium,no
A276,high,apartment,medium,beginner,low,no,no,low,no,low,no,medium,low,high,medium,yes
A277,low,house,large,intermediate,low,yes,no,low,yes,medium,no,low,low,low,low,no
A278,medium,house,small,intermediate,medium,yes,yes,high,no,medium,no,high,high,low,high,no
A279,high,apartment,small,beginner,low,no,yes,low,no,low,yes,low,medium,low,low,yes
A280,low,apartment,small,beginner,high,yes,yes,high,yes,medium,no,high,medium,low,medium,no
A281,high,apartment,medium,beginner,low,yes,no,low,no,high,no,high,medium,high,low,no
A282,medium,house,medium,beginner,medium,yes,no,low,no,low,no,low,medium,medium,high,yes
A283,high,house,large,intermediate,high,yes,yes,low,no,medium,no,medium,low,high,medium,yes
A284,high,apartment,large,beginner,low,yes,yes,low,no,medium,no,low,high,high,high,yes
A285,medium,house,small,experienced,low,no,no,medium,no,low,yes,medium,low,medium,high,yes
A286,high,apartment,small,intermediate,low,yes,no,medium,yes,medium,no,high,high,high,low,no
A287,medium,apartment,medium,experienced,high,no,no,medium,yes,low,no,low,high,medium,medium,yes
A288,high,apartment,small,intermediate,high,no,yes,medium,no,low,no,low,medium,low,low,no
A289,high,house,medium,experienced,high,yes,yes,medium,yes,low,no,high,medium,low,high,yes
A290,medium,apartment,medium,intermediate,high,yes,no,low,yes,low,yes,medium,low,high,low,yes
A291,low,house,large,beginner,high,yes,yes,high,no,medium,yes,high,medium,medium,medium,yes
A292,high,house,large,experienced,medium,no,yes,low,no,medium,yes,medium,medium,high,high,no
A293,high,house,small,intermediate,medium,no,yes,low,no,low,no,low,low,high,low,yes
A294,low,house,large,experienced,medium,no,yes,high,no,low,yes,low,high,low,medium,no
A295,high,apartment,medium,experienced,medium,yes,no,high,no,low,no,high,low,low,high,no
A296,medium,apartment,medium,beginner,low,no,yes,high,no,high,no,medium,low,high,high,yes
A297,medium,apartment,medium,experienced,medium,no,no,low,yes,high,yes,high,medium,high,high,yes
A298,medium,apartment,large,intermediate,low,yes,no,high,no,low,no,medium,high,medium,low,yes
A299,low,apartment,small,experienced,low,yes,yes,medium,yes,low,yes,medium,high,low,medium,yes
A300,low,apartment,large,experienced,high,no,yes,high,yes,low,no,high,low,medium,low,yes
A301,low,apartment,small,beginner,medium,no,no,low,yes,medium,yes,low,medium,low,high,no
A302,medium,apartment,large,experienced,low,no,no,high,no,high,no,high,low,high,high,yes
A303,high,apartment,small,intermediate,medium,no,yes,high,yes,high,no,low,low,medium,medium,no
A304,medium,house,large,experienced,medium,yes,no,medium,yes,low,no,medium,high,medium,low,no
A305,medium,house,large,intermediate,high,no,yes,low,yes,medium,yes,high,medium,medium,medium,no
A306,high,apartment,large,experienced,medium,no,no,medium,no,low,no,low,medium,medium,high,yes
A307,medium,apartment,small,intermediate,high,no,no,medium,yes,medium,no,low,high,low,high,yes
A308,high,house,small,beginner,medium,no,no,medium,yes,low,yes,medium,medium,low,medium,yes
A309,medium,apartment,large,beginner,medium,no,no,medium,no,medium,no,medium,low,high,high,no
A310,high,house,medium,beginner,high,no,no,medium,no,high,no,medium,medium,high,high,yes
A311,medium,house,medium,intermediate,medium,no,no,high,yes,high,no,low,medium,medium,low,yes
A312,high,house,large,experienced,low,no,yes,low,no,low,no,low,high,high,high,no
A313,low,apartment,large,experienced,low,no,yes,medium,no,high,yes,low,high,high,high,no
